label	volume	bbox_volume	sphericity	surface_area	convex_volume	num_pixels	area	area_bbox	area_convex	equivalent_diameter_area	euler_number	extent	feret_diameter_max	area_filled	axis_major_length	axis_minor_length	solidity
1	195.0	540	0.7242300320907533	224.5418701171875	284.0	195	195.0	540.0	284.0	7.194688513426352	1	0.3611111111111111	15.652475842498529	195.0	15.782888141638317	3.194904913370615	0.6866197183098591
2	474.0	1029	0.992452666891342	296.2283020019531	617.0	474	474.0	1029.0	617.0	9.673713917837969	1	0.4606413994169096	21.6794833886788	474.0	23.73013689562085	5.987384995100228	0.7682333873581848
3	1267.0	3060	0.9747096937442596	580.9337158203125	1612.0	1267	1267.0	3060.0	1612.0	13.425361775129108	1	0.4140522875816993	20.85665361461421	1267.0	18.217236511165996	11.74492097383302	0.7859801488833746
4	1492.0	4347	0.7611282214347992	829.6065673828125	1941.0	1492	1492.0	4347.0	1941.0	14.177186970986417	1	0.34322521279043017	26.419689627245813	1492.0	25.65612298907181	8.73787467829923	0.7686759402369913
5	303.0	770	0.7706610245825151	283.0843200683594	381.0	303	303.0	770.0	381.0	8.333254945612431	1	0.3935064935064935	14.2828568570857	303.0	13.65781960735111	4.896306116902169	0.7952755905511811
6	1046.0	2970	0.718559788910481	693.493408203125	1499.0	1046	1046.0	2970.0	1499.0	12.594405943922926	1	0.35218855218855216	22.561028345356956	1046.0	19.010857955983635	8.09386453738539	0.6977985323549033
7	4470.0	9600	0.8089995024031564	1622.0872802734375	6197.0	4470	4470.0	9600.0	6197.0	20.43790143059924	1	0.465625	34.07345007480164	4470.0	32.27550815076906	14.952750131090289	0.7213167661771825
8	2472.0	6370	0.715933882479394	1234.933349609375	3270.0	2472	2472.0	6370.0	3270.0	16.775801603485213	1	0.3880690737833595	36.24913792078372	2472.0	34.37372043475148	12.297488977675636	0.7559633027522936
9	2508.0	6864	0.6443020614453447	1385.5205078125	3658.0	2508	2508.0	6864.0	3658.0	16.856845381208053	1	0.36538461538461536	28.74021572639983	2508.0	24.30680679556728	12.218903533694574	0.6856205576817933
10	4560.0	16640	0.6951572239321898	1912.982421875	6659.0	4560	4560.0	16640.0	6659.0	20.574158130729685	1	0.27403846153846156	40.890096600521744	4560.0	38.63231428470116	12.216300093925469	0.6847875056314762
11	8523.0	18630	0.8013864653073898	2517.89208984375	11407.0	8523	8523.0	18630.0	11407.0	25.343385052238123	1	0.457487922705314	40.91454509095757	8523.0	36.80440777854225	19.692515824111624	0.7471727886385553
12	2372.0	7000	0.8110041270501972	1060.5655517578125	3519.0	2372	2372.0	7000.0	3519.0	16.546469919648835	1	0.33885714285714286	37.36308338453881	2372.0	35.00343414992542	10.538508533245395	0.6740551292980961
13	304.0	700	0.8077007504779843	270.696533203125	361.0	304	304.0	700.0	361.0	8.342412375997787	1	0.4342857142857143	14.594519519326424	304.0	15.220477858073346	5.07055142460817	0.8421052631578947
14	5424.0	12960	0.6775352000449902	2203.42724609375	8270.0	5424	5424.0	12960.0	8270.0	21.799189807982298	1	0.4185185185185185	45.12205669071391	5424.0	40.61543243279758	8.471095258746173	0.6558645707376058
15	7955.0	23940	0.6743046371708982	2857.950927734375	11501.0	7955	7955.0	23940.0	11501.0	24.767405838729257	1	0.3322890559732665	62.44197306299666	7955.0	60.37987464792186	9.791783121897517	0.691678984436136
16	547.0	1848	0.6204359271928546	521.3292236328125	797.0	547	547.0	1848.0	797.0	10.146810929023093	1	0.295995670995671	22.11334438749598	547.0	22.97280503906352	5.2511423077566395	0.6863237139272271
17	1316.0	4557	0.6956149067715435	834.87060546875	1768.0	1316	1316.0	4557.0	1768.0	13.59624835479107	1	0.2887864823348694	32.341923257592455	1316.0	30.93724785321494	6.370439420904109	0.744343891402715
18	4346.0	19040	0.7121661572591578	1808.406005859375	7141.0	4346	4346.0	19040.0	7141.0	20.24714065576918	1	0.2282563025210084	37.322915213043046	4346.0	38.87811168700752	11.124544742893582	0.6085982355412407
19	1670.0	3078	1.0314651199105507	659.9442138671875	2055.0	1670	1670.0	3078.0	2055.0	14.719936944008568	1	0.5425601039636128	22.045407685048602	1670.0	21.410817806806808	10.055375136884226	0.8126520681265207
20	586.0	1932	0.6416691586073668	527.7619018554688	899.0	586	586.0	1932.0	899.0	10.38244560756554	1	0.3033126293995859	23.62202362203543	586.0	24.89718830519171	4.893288081141745	0.6518353726362626
21	55.0	240	0.5128412402690621	136.37757873535156	83.0	55	55.0	240.0	83.0	4.718326851800821	1	0.22916666666666666	8.54400374531753	55.0	6.335521470208927	4.338726092189548	0.6626506024096386
22	987.0	2156	0.8887906723294187	539.3815307617188	1190.0	987	987.0	2156.0	1190.0	12.353011435375477	1	0.4577922077922078	22.58317958127243	987.0	19.990875170197295	6.940422809776966	0.8294117647058824
23	295.0	770	0.685023746203836	312.8430480957031	387.0	295	295.0	770.0	387.0	8.259259874164178	1	0.38311688311688313	14.352700094407323	295.0	14.177134815446461	4.6347209873561965	0.7622739018087855
24	49662.0	147456	0.6498070057756056	10055.0107421875	75915.0	49662	49662.0	147456.0	75915.0	45.604587072852325	-1	0.3367919921875	90.54280755532159	49662.0	76.12677143552693	29.68708479029443	0.6541790160047422
25	486.0	1134	0.7030246853303093	425.2109069824219	714.0	486	486.0	1134.0	714.0	9.754669262507202	1	0.42857142857142855	18.788294228055936	486.0	19.838940986835958	7.211965392723319	0.680672268907563
26	522.0	1632	0.7839391859376562	399.9282531738281	707.0	522	522.0	1632.0	707.0	9.989811501400476	1	0.31985294117647056	18.894443627691185	522.0	17.000826548869124	7.217493204813326	0.7383309759547383
27	170.0	350	0.7670326162586133	193.48007202148438	201.0	170	170.0	350.0	201.0	6.873059437985092	1	0.4857142857142857	10.392304845413264	170.0	10.474728322793524	5.1195189682055355	0.845771144278607
28	369.0	935	0.7309708252189037	340.35723876953125	503.0	369	369.0	935.0	503.0	8.89902816477149	1	0.3946524064171123	18.81488772222678	369.0	18.75283851726662	5.696892395831734	0.7335984095427436
29	16156.0	76320	0.672242459794972	4597.4189453125	26497.0	16156	16156.0	76320.0	26497.0	31.36498426957653	1	0.21168763102725366	65.82552696332935	16156.0	58.31904688441793	24.85122250294904	0.6097294033286788
30	2627.0	6384	0.7867754105484587	1170.23583984375	3291.0	2627	2627.0	6384.0	3291.0	17.11934523485751	1	0.41149749373433586	39.57271787481876	2627.0	39.232910601015234	7.694555484253126	0.7982376177453662
31	1254.0	3780	0.8679155373383366	647.9453125	1581.0	1254	1254.0	3780.0	1581.0	13.379287045497476	1	0.33174603174603173	28.600699292150182	1254.0	27.48871169378818	8.071209123802383	0.793168880455408
32	12043.0	42780	0.6214577737220134	4088.48388671875	19857.0	12043	12043.0	42780.0	19857.0	28.438849396182203	1	0.28151005142589997	47.686476070265456	12043.0	42.1345437030736	24.195255839315962	0.6064863775998388
33	2795.0	7800	0.7248194247538102	1323.8603515625	3904.0	2795	2795.0	7800.0	3904.0	17.476765673538747	1	0.35833333333333334	31.68595903550972	2795.0	29.640696653142264	10.311013897427545	0.7159323770491803
34	70277.0	204624	0.7230939938529762	11389.330078125	96577.0	70277	70277.0	204624.0	96577.0	51.200185041144074	0	0.3434445617327391	78.40918313565064	70277.0	67.75912517935419	46.40059212774646	0.72767843275314
35	981.0	3640	0.5803720321059868	822.6661987304688	1726.0	981	981.0	3640.0	1726.0	12.32792910964482	1	0.2695054945054945	23.366642891095847	981.0	20.803010298743253	9.447364870918245	0.5683661645422943
36	16530.0	54808	0.6296705076477801	4983.708984375	25040.0	16530	16530.0	54808.0	25040.0	31.605166099681046	-1	0.3015983068165231	55.18151864528558	16530.0	49.35819495222321	24.204417996003286	0.6601437699680511
37	1141.0	2736	0.7308567518069278	722.5073852539062	1512.0	1141	1141.0	2736.0	1512.0	12.964696087837254	1	0.41703216374269003	25.80697580112788	1141.0	25.984764266695493	6.068633226276656	0.7546296296296297
38	1620.0	4680	0.7384862985453169	903.2716064453125	2163.0	1620	1620.0	4680.0	2163.0	14.571540378031683	1	0.34615384615384615	28.61817604250837	1620.0	25.872903721078835	9.071128735817995	0.7489597780859917
39	1220.0	5700	0.6055516919121253	911.813720703125	1905.0	1220	1220.0	5700.0	1905.0	13.257258852769176	1	0.21403508771929824	24.49489742783178	1220.0	20.168120803679344	11.077960764447978	0.6404199475065617
40	786.0	1944	0.7907929565010579	520.8384399414062	1043.0	786	786.0	1944.0	1043.0	11.450065592685032	1	0.404320987654321	22.825424421026653	786.0	20.33316465894247	5.754833671752075	0.7535953978907
41	721.0	1771	0.8222612822008385	472.89471435546875	1018.0	721	721.0	1771.0	1018.0	11.125312381431282	1	0.40711462450592883	24.43358344574123	721.0	27.961296737769278	6.181268510981467	0.7082514734774067
42	173.0	728	0.5244134917909486	286.3129577636719	266.0	173	173.0	728.0	266.0	6.913253681768307	1	0.23763736263736263	14.560219778561036	173.0	13.181292532917691	3.3258226307278145	0.650375939849624
43	600.0	1584	0.8891896981109029	386.8927001953125	725.0	600	600.0	1584.0	725.0	10.464477359210589	1	0.3787878787878788	18.05547008526779	600.0	14.958942366117753	9.298356199860994	0.8275862068965517
44	4191.0	10125	0.8406060774697628	1495.443603515625	5847.0	4191	4191.0	10125.0	5847.0	20.003516380032003	1	0.4139259259259259	33.436506994600975	4191.0	27.45880682988145	15.84663162246812	0.7167778347870702
45	3961.0	22638	0.5721841724713945	2115.849853515625	7350.0	3961	3961.0	22638.0	7350.0	19.630682848856214	1	0.17497128721618518	55.21775076911409	3961.0	61.74219241828969	11.487867141825857	0.5389115646258503
46	242.0	660	0.9353540554356958	200.77902221679688	293.0	242	242.0	660.0	293.0	7.731651102653187	1	0.36666666666666664	14.422205101855956	242.0	13.50823917019316	4.798385645263711	0.825938566552901
47	4061.0	14352	0.7091784243919834	1735.737060546875	5680.0	4061	4061.0	14352.0	5680.0	19.794511527389783	1	0.28295707915273133	29.274562336608895	4061.0	25.05608453748642	19.150964441772786	0.7149647887323943
48	5267.0	14076	0.7274508771275632	2012.438720703125	7448.0	5267	5267.0	14076.0	7448.0	21.586798219366337	1	0.3741830065359477	36.72873534441391	5267.0	33.878109008292654	16.526671807322273	0.7071697099892589
49	3371.0	11160	0.7268346257985248	1495.8487548828125	4897.0	3371	3371.0	11160.0	4897.0	18.603159518340437	1	0.30206093189964156	39.102429592034305	3371.0	36.01627207489765	11.58233375919214	0.6883806412089034
50	867.0	2880	0.7241270479713663	607.2237548828125	1138.0	867	867.0	2880.0	1138.0	11.830601476892603	1	0.30104166666666665	22.9128784747792	867.0	23.473716810431657	8.63373319741194	0.7618629173989455
51	13482.0	36000	0.7112472126825303	3851.5283203125	18644.0	13482	13482.0	36000.0	18644.0	29.529214881803806	1	0.3745	46.08687448721165	13482.0	41.5714803747872	23.469425470777843	0.723128084102124
52	295.0	616	1.0173761892676783	210.64471435546875	376.0	295	295.0	616.0	376.0	8.259259874164178	1	0.4788961038961039	13.638181696985855	295.0	11.003690695201392	7.496715176137822	0.7845744680851063
53	2320.0	8294	0.6526819506669743	1298.4976806640625	3714.0	2320	2320.0	8294.0	3714.0	16.424662496692836	1	0.27972027972027974	33.83784863137726	2320.0	30.7833684840244	10.48830320606199	0.624663435648896
54	1180.0	3192	0.794192509916182	679.9542236328125	1672.0	1180	1180.0	3192.0	1672.0	13.110757812726954	1	0.36967418546365916	23.45207879911715	1180.0	20.605434590593337	8.269105681792734	0.7057416267942583
55	11487.0	57600	0.5443352993458866	4522.95263671875	20635.0	11487	11487.0	57600.0	20635.0	27.99428198524999	1	0.19942708333333334	60.481402100149765	11487.0	49.387627681884354	20.646586407817157	0.5566755512478798
56	77.0	180	0.750870827034476	116.56800842285156	101.0	77	77.0	180.0	101.0	5.278340074235308	1	0.42777777777777776	10.44030650891055	77.0	9.892277176441276	2.081563814506174	0.7623762376237624
57	954.0	3250	0.5647558354011099	829.8297119140625	1426.0	954	954.0	3250.0	1426.0	12.213775062631322	1	0.2935384615384615	26.551836094703507	954.0	27.57929007389144	4.248583550197568	0.6690042075736325
58	30190.0	132736	0.6999436410333422	6698.79150390625	46427.0	30190	30190.0	132736.0	46427.0	38.63267941879179	0	0.2274439488910318	66.1362230551458	30190.0	60.77457469013112	27.09628479746211	0.6502681629224374
59	5803.0	14560	0.9335058737262321	1672.8953857421875	7662.0	5803	5803.0	14560.0	7662.0	22.295539347328134	1	0.39855769230769234	32.69556544854363	5803.0	29.18963740841582	17.800527164973392	0.7573740537718612
60	1844.0	4752	0.7645929371981129	951.103515625	2758.0	1844	1844.0	4752.0	2758.0	15.214374359122617	1	0.38804713804713803	28.089143810376278	1844.0	28.154139935540087	8.77355357195772	0.668600435097897
61	23273.0	70785	0.7778536846644968	5067.8193359375	29945.0	23273	23273.0	70785.0	29945.0	35.422938277683116	1	0.32878434696616515	58.497863208838666	23273.0	55.406554812436084	27.889548020454264	0.7771915177826014
62	14709.0	54390	0.6772581364581362	4286.65625	21569.0	14709	14709.0	54390.0	21569.0	30.39915477482653	0	0.2704357418643133	53.9351462406472	14709.0	48.15001430023308	23.336848647041172	0.681950948119987
