LogR	pdf	cdf	satn	bin_centers	bin_widths
0.17710479836480764	0.5106279392464942	1.0000000000000002	0.05106279392464942	0.17710479836480764	0.1
0.27710479836480767	0.25816254389516624	0.9489372060753507	0.025816254389516624	0.27710479836480767	0.1
0.3771047983648077	1.3485020202864595	0.9231209516858341	0.134850202028646	0.3771047983648077	0.10000000000000003
0.4771047983648077	1.55508078182194	0.788270749657188	0.1555080781821939	0.4771047983648077	0.09999999999999992
0.5771047983648077	2.261673135248718	0.6327626714749941	0.22616731352487202	0.5771047983648077	0.10000000000000009
0.6771047983648077	2.9242154974948997	0.4065953579501221	0.29242154974949025	0.6771047983648077	0.10000000000000009
0.7771047983648077	0.8746731558920452	0.11417380820063185	0.0874673155892044	0.7771047983648077	0.09999999999999987
0.8771047983648077	0.23801302491526505	0.026706492611427445	0.023801302491526524	0.8771047983648077	0.10000000000000009
0.9771047983648077	0.025600991533580284	0.0029051901199009206	0.002560099153358025	0.9771047983648077	0.09999999999999987
1.0771047983648077	0.00345090966542895	0.0003450909665428953	0.0003450909665428953	1.0771047983648077	0.10000000000000009
