LogR	pdf	cdf	satn	bin_centers	bin_widths
0.17688545029180197	0.4922510666722832	1.0	0.04900915802140921	0.17688545029180197	0.09956130385398865
0.2764467541457906	0.26409926184173005	0.9509908419785907	0.026294066855838596	0.2764467541457906	0.09956130385398865
0.37600805799977927	1.3319377391629479	0.9246967751227522	0.13260945796339693	0.37600805799977927	0.09956130385398865
0.47556936185376797	1.6436446833079759	0.7920873171593552	0.1636434077428184	0.47556936185376797	0.0995613038539887
0.5751306657077566	3.1898385876033855	0.6284439094165368	0.3175844888655586	0.5751306657077566	0.09956130385398865
0.6746919695617453	1.9673217732561885	0.31085942055097826	0.19586912084572713	0.6746919695617453	0.09956130385398865
0.7742532734157339	0.7947458253353809	0.1149902997052511	0.07912593060290485	0.7742532734157339	0.09956130385398865
0.8738145772697226	0.31754370133497156	0.03586436910234625	0.031615064935531324	0.8738145772697226	0.09956130385398865
0.9733758811237112	0.03455684889875769	0.004249304166814923	0.0034405249334455872	0.9733758811237112	0.09956130385398865
1.0729371849776999	0.008123429505859507	0.0008087792333693352	0.0008087792333693352	1.0729371849776999	0.09956130385398865
