label	volume	bbox_volume	sphericity	surface_area	convex_volume	num_pixels	area	area_bbox	area_convex	equivalent_diameter_area	euler_number	extent	feret_diameter_max	area_filled	axis_major_length	axis_minor_length	solidity
1	12247.0	35100	0.8788183205464549	2923.736083984375	17288.0	12247	12247.0	35100.0	17288.0	28.598529215347643	1	0.3489173789173789	48.36320915737499	12247.0	42.78030905069406	22.824401230862613	0.7084104581212401
2	131.0	392	0.7591244114514382	164.31808471679688	170.0	131	131.0	392.0	170.0	6.301213930352919	1	0.33418367346938777	14.2828568570857	131.0	14.760402953681135	3.397543455981995	0.7705882352941177
3	4497.0	9360	0.9412236896989594	1399.8232421875	5738.0	4497	4497.0	9360.0	5738.0	20.47896899199708	1	0.48044871794871796	28.635642126552707	4497.0	24.74079507689195	17.755075647295296	0.7837225514116417
4	2526.0	5850	0.737627488443548	1216.006591796875	3581.0	2526	2526.0	5850.0	3581.0	16.897076668360132	1	0.4317948717948718	28.231188426986208	2526.0	26.86543911793394	14.433592151407007	0.7053895559899469
5	471.0	1512	0.7167034347738144	408.468505859375	616.0	471	471.0	1512.0	616.0	9.653262030366104	1	0.3115079365079365	18.708286933869708	471.0	18.871631968213983	5.961967584813339	0.7646103896103896
6	4771.0	14553	0.654116965180538	2095.245849609375	6936.0	4771	4771.0	14553.0	6936.0	20.886720960422444	1	0.3278361849790421	35.4400902933387	4771.0	30.320630274696935	18.344807239540085	0.6878604382929643
7	2152.0	6468	0.7675929984694431	1050.141845703125	2903.0	2152	2152.0	6468.0	2903.0	16.01823084750442	1	0.3327149041434756	27.2213151776324	2152.0	20.42660915199458	13.977219431108253	0.7413021012745435
8	10869.0	42840	0.668267452369293	3550.805419921875	18463.0	10869	10869.0	42840.0	18463.0	27.482969474083596	1	0.2537114845938375	55.95533933415113	10869.0	49.44670175061822	14.735789563015185	0.5886908953041218
9	1068.0	3432	0.7137049949151368	707.966796875	1531.0	1068	1068.0	3432.0	1531.0	12.682091340596205	1	0.3111888111888112	22.825424421026653	1068.0	20.80552488319119	10.207792874797446	0.697583278902678
10	399.0	2520	0.475789041447015	550.8731689453125	707.0	399	399.0	2520.0	707.0	9.133938668379978	1	0.15833333333333333	23.45207879911715	399.0	20.989411570860554	4.760510996039291	0.5643564356435643
11	909.0	3402	0.637317515831236	712.0396728515625	1393.0	909	909.0	3402.0	1393.0	12.018633364571615	1	0.2671957671957672	27.23967694375247	909.0	26.87994620385535	8.420999068044587	0.6525484565685571
12	27825.0	84490	0.6849102738943569	6483.4658203125	42288.0	27825	27825.0	84490.0	42288.0	37.596335536376166	1	0.32932891466445735	78.59389289251423	27825.0	78.78501979812147	14.850837904572376	0.6579880817253121
13	1897.0	5130	0.7726246542950346	959.166015625	2413.0	1897	1897.0	5130.0	2413.0	15.358762905014576	1	0.36978557504873294	25.317977802344327	1897.0	19.841071541637238	12.77116498180383	0.7861583091587235
14	1804.0	7020	0.6538174723792228	1096.1044921875	2814.0	1804	1804.0	7020.0	2814.0	15.103559250523935	1	0.256980056980057	28.30194339616981	1804.0	26.621097357633264	11.11563078647046	0.6410803127221038
15	485.0	1170	0.8399860101683125	355.39111328125	656.0	485	485.0	1170.0	656.0	9.74797422316132	1	0.41452991452991456	14.798648586948742	485.0	13.238119071371031	9.642819144486532	0.739329268292683
16	8813.0	32637	0.6960373837715048	2964.38134765625	13822.0	8813	8813.0	32637.0	13822.0	25.627626305035438	1	0.2700309464717958	44.57577817604534	8813.0	41.75364203780241	18.26151379514983	0.6376067139343077
17	3020.0	9450	0.6822659623512377	1480.9317626953125	4786.0	3020	3020.0	9450.0	4786.0	17.93368099378978	1	0.31957671957671957	33.49626844888845	3020.0	36.604500194136286	12.559542707563422	0.6310071040534894
18	45653.0	181220	0.5781379649515378	10684.7783203125	90199.0	45653	45653.0	181220.0	90199.0	44.34284630688815	-1	0.2519203178457124	83.39064695755754	45653.0	68.86644029281922	32.55405163593529	0.5061364316677569
19	3483.0	16530	0.6744192128677049	1647.617919921875	5399.0	3483	3483.0	16530.0	5399.0	18.806946280168354	1	0.21070780399274047	38.84584919911006	3483.0	35.54722885447448	13.382099904551088	0.645119466567883
20	120.0	280	0.8455326521172986	139.14723205566406	143.0	120	120.0	280.0	143.0	6.119663483891738	1	0.42857142857142855	10.488088481701515	120.0	10.13072435162866	3.9628157912003785	0.8391608391608392
21	203.0	432	0.8899493880090995	187.69361877441406	255.0	203	203.0	432.0	255.0	7.291761779042593	1	0.4699074074074074	13.892443989449804	203.0	13.01967090267454	3.2543456087214127	0.796078431372549
22	13968.0	33046	0.7862711222303739	3567.2587890625	18574.0	13968	13968.0	33046.0	18574.0	29.879858375750945	1	0.4226835320462386	46.70117771534247	13968.0	43.80851914949873	23.644799880222514	0.7520189512221385
23	1147.0	3132	0.6708665078980172	789.8724365234375	1472.0	1147	1147.0	3132.0	1472.0	12.987381516582271	1	0.3662196679438059	30.675723300355934	1147.0	30.79153125173956	8.354942482286678	0.7792119565217391
24	17590.0	56350	0.7238510867301758	4518.685546875	24028.0	17590	17590.0	56350.0	24028.0	32.266788250567394	1	0.3121561668145519	53.85164807134504	17590.0	42.67740456820561	24.55698766467393	0.7320625936407524
25	7832.0	19380	0.7153321106406989	2666.192626953125	10879.0	7832	7832.0	19380.0	10879.0	24.63909122451006	0	0.4041279669762642	37.376463182061514	7832.0	36.76136768282154	17.831011400812496	0.7199191102123357
26	277.0	1530	0.563102102030824	364.93609619140625	453.0	277	277.0	1530.0	453.0	8.08773753359214	1	0.18104575163398692	20.808652046684813	277.0	19.115967185332746	4.291056086193909	0.6114790286975718
27	5704.0	19844	0.6346304734161607	2432.668212890625	9671.0	5704	5704.0	19844.0	9671.0	22.168023075353826	1	0.28744204797419876	45.45327270945405	5704.0	45.45032732759498	10.144938728776946	0.5898045703650088
28	1075.0	3542	0.6791079307921812	747.2816162109375	1516.0	1075	1075.0	3542.0	1516.0	12.709738466209078	1	0.30350084697910784	24.515301344262525	1075.0	23.528717310042534	9.912730365873621	0.7091029023746702
29	5880.0	17024	0.8329807336385386	1891.330322265625	8165.0	5880	5880.0	17024.0	8165.0	22.393719530024107	1	0.34539473684210525	37.33630940518894	5880.0	32.61683418540614	18.126112250070417	0.7201469687691365
30	43393.0	124488	0.6436054285335009	9278.4951171875	61113.0	43393	43393.0	124488.0	61113.0	43.598714532114286	0	0.34857174988753936	76.94803441284255	43393.0	73.60906522250612	31.236481735729022	0.7100453258717457
31	946.0	2700	0.7296654728652107	638.6865234375	1313.0	946	946.0	2700.0	1313.0	12.179538653013774	1	0.3503703703703704	28.106938645110393	946.0	25.370754715925482	8.665707278357045	0.7204874333587205
32	501.0	1056	0.8932925137172069	341.49334716796875	649.0	501	501.0	1056.0	649.0	9.854010813451172	1	0.4744318181818182	22.58317958127243	501.0	22.83613971708231	3.411308140579943	0.7719568567026194
33	37000.0	107640	0.7154641067198734	7505.2314453125	54269.0	37000	37000.0	107640.0	54269.0	41.342909229085485	1	0.34373838721664807	72.6773692424265	37000.0	71.53115431906025	27.210339176051097	0.6817888665720762
34	5372.0	23751	0.6337912948940558	2340.427490234375	9170.0	5372	5372.0	23751.0	9170.0	21.729302899865207	1	0.22617995031788135	46.76537180435969	5372.0	48.61793899771984	14.983575196628218	0.5858233369683752
35	2238.0	4032	0.9239032681613685	895.566162109375	2635.0	2238	2238.0	4032.0	2635.0	16.22882784502968	1	0.5550595238095238	26.248809496813376	2238.0	25.472042396929474	13.124730672153156	0.8493358633776091
36	651.0	2310	0.5739337386249962	632.9115600585938	1023.0	651	651.0	2310.0	1023.0	10.752945766886826	1	0.2818181818181818	23.043437243605826	651.0	19.43821107834878	6.803271378100354	0.6363636363636364
37	15437.0	49321	0.6290763433625469	4766.02197265625	23218.0	15437	15437.0	49321.0	23218.0	30.892621300379478	1	0.3129904097646033	46.593991028886975	15437.0	43.864590968677774	24.868950904843043	0.6648720820053406
38	851.0	1386	1.01574954724296	427.5469970703125	1042.0	851	851.0	1386.0	1042.0	11.757373440759677	1	0.613997113997114	27.730849247724095	851.0	27.245758093690487	3.2453793287346624	0.8166986564299424
39	6949.0	20808	0.8159154366576679	2158.34326171875	9887.0	6949	6949.0	20808.0	9887.0	23.67597629408182	1	0.33395809304113805	47.21228653645151	6949.0	42.17966454976484	15.769476317387644	0.7028421159097805
40	783.0	2496	0.6117410395265425	671.569580078125	1193.0	783	783.0	2496.0	1193.0	11.43547950607621	1	0.3137019230769231	26.94438717061496	783.0	25.31487245251064	6.268106944485355	0.6563285834031852
41	63.0	144	0.8018225109669572	95.49183654785156	79.0	63	63.0	144.0	79.0	4.936820184470645	1	0.4375	9.0	63.0	8.899210297735904	3.1002013614735335	0.7974683544303798
42	7532.0	25872	0.640656584145984	2900.4521484375	11240.0	7532	7532.0	25872.0	11240.0	24.320391570245235	0	0.2911255411255411	41.98809355043403	7532.0	36.42916944816218	21.123301699063468	0.6701067615658363
43	487.0	1632	0.9018377153353576	331.92633056640625	668.0	487	487.0	1632.0	668.0	9.76135512427311	1	0.29840686274509803	19.026297590440446	487.0	17.469763696693782	6.905924792762695	0.7290419161676647
44	5109.0	12870	0.8655914586415239	1657.2769775390625	6665.0	5109	5109.0	12870.0	6665.0	21.36874878549309	1	0.396969696969697	37.027017163147235	5109.0	34.29038192623938	12.358935289373676	0.7665416354088522
45	1902.0	5796	0.7386710841367352	1005.0169067382812	2642.0	1902	1902.0	5796.0	2642.0	15.372244972071584	1	0.3281573498964803	28.653097563788805	1902.0	24.157753005836074	9.08546130467758	0.7199091597274792
46	4876.0	10880	0.8454522296531063	1644.7662353515625	6282.0	4876	4876.0	10880.0	6282.0	21.03883519031474	0	0.44816176470588237	37.107950630558946	4876.0	33.91253932962871	10.888131331079544	0.7761859280483923
47	5360.0	16896	0.7275822895839883	2035.6910400390625	7674.0	5360	5360.0	16896.0	7674.0	21.71311116294535	1	0.3172348484848485	47.54997371187496	5360.0	44.09445502632456	11.184234747839508	0.6984623403700808
48	2625.0	8160	0.6485246649817754	1418.98291015625	3974.0	2625	2625.0	8160.0	3974.0	17.114999671722508	1	0.32169117647058826	35.62302626111375	2625.0	34.41712152701176	10.091927249325497	0.6605435329642677
49	1913.0	7106	0.6832089909098844	1090.7884521484375	2851.0	1913	1913.0	7106.0	2851.0	15.401822567249368	1	0.26920911905432027	25.553864678361276	1913.0	21.830902256538607	13.359832483447516	0.6709926341634515
50	1744.0	3978	0.8194378916400729	855.0648803710938	2168.0	1744	1744.0	3978.0	2168.0	14.934222568073592	1	0.4384112619406737	22.494443758403985	1744.0	21.584480898553316	12.706357164938916	0.8044280442804428
51	4110.0	12672	0.7083439306157802	1751.732666015625	6667.0	4110	4110.0	12672.0	6667.0	19.873806934576695	1	0.3243371212121212	38.2099463490856	4110.0	36.09878031519213	10.812012064774295	0.616469176541173
52	4124.0	11776	0.7927137608270667	1568.845458984375	5362.0	4124	4124.0	11776.0	5362.0	19.89634691639334	1	0.3502038043478261	35.04283093587046	4124.0	28.997149840826552	14.630345886133673	0.7691160014919806
53	362.0	990	0.7140974460114817	343.9793395996094	503.0	362	362.0	990.0	503.0	8.842396451724207	1	0.3656565656565657	19.697715603592208	362.0	17.486643019927442	4.159450444009714	0.7196819085487077
54	15344.0	57018	0.7192674458437692	4151.6376953125	23051.0	15344	15344.0	57018.0	23051.0	30.83045890598915	1	0.269108000982146	57.245087125446844	15344.0	51.73372520459399	22.269400839402017	0.6656544184634072
55	1344.0	3500	0.7549051629042612	780.173583984375	1881.0	1344	1344.0	3500.0	1881.0	13.691999737378007	1	0.384	26.94438717061496	1344.0	27.393965135460345	6.812492394777379	0.7145135566188198
56	1271.0	3952	0.7329979295438248	774.1261596679688	1728.0	1271	1271.0	3952.0	1728.0	13.439475175035616	1	0.3216093117408907	27.0	1271.0	25.22537856162342	8.082393167097965	0.7355324074074074
57	16212.0	56350	0.7913153250016403	3914.64404296875	22292.0	16212	16212.0	56350.0	22292.0	31.40118162918763	1	0.28770186335403725	56.753854494650845	16212.0	54.405004799359475	16.47152128509097	0.7272564148573479
58	115.0	252	0.732719228268546	156.0792236328125	147.0	115	115.0	252.0	147.0	6.033459557881385	1	0.45634920634920634	9.539392014169456	115.0	8.819667701540993	4.021920246589311	0.782312925170068
59	841.0	3757	0.619336618283639	695.698974609375	1362.0	841	841.0	3757.0	1362.0	11.711138698767874	1	0.22384881554431726	20.663978319771825	841.0	19.06944467483814	8.24119060894708	0.617474302496329
60	5773.0	20026	0.7189355405994624	2164.6875	8636.0	5773	5773.0	20026.0	8636.0	22.257052235853628	1	0.2882752421851593	43.197222132910355	5773.0	39.553615969668584	14.544803588842965	0.6684807781380269
61	4396.0	11880	0.7509234865583783	1728.1982421875	6162.0	4396	4396.0	11880.0	6162.0	20.32449142473161	1	0.37003367003367005	41.47288270665544	4396.0	37.04252996923203	9.258922584784308	0.7134047387211944
62	11084.0	44770	0.6412944676745252	3748.788818359375	18788.0	11084	11084.0	44770.0	18788.0	27.663001371035314	0	0.24757650212195667	58.22370651203855	11084.0	47.21462017166553	19.17075767729269	0.5899510325739834
63	3212.0	8316	0.8210286298347311	1282.26025390625	4059.0	3212	3212.0	8316.0	4059.0	18.305951388832675	1	0.3862433862433862	33.97057550292606	3212.0	30.160525294015553	9.606650918473585	0.7913279132791328
64	2047.0	6864	0.7398577358600089	1053.7747802734375	2665.0	2047	2047.0	6864.0	2665.0	15.753355491819484	1	0.29822261072261075	30.14962686336267	2047.0	30.433259907181274	10.596832105498676	0.7681050656660413
65	33828.0	87696	0.7818897893216775	6469.28271484375	44673.0	33828	33828.0	87696.0	44673.0	40.126002869099246	1	0.3857416529830323	67.26068688320095	33828.0	55.86906106104906	28.613568511529827	0.7572359143106574
66	39687.0	149184	0.6370323374930141	8832.591796875	65196.0	39687	39687.0	149184.0	65196.0	42.320411604332755	0	0.2660271879021879	90.48204241726643	39687.0	72.36200972678552	25.379384804268607	0.6087336646420026
67	7871.0	30932	0.5871653572268458	3258.944580078125	13170.0	7871	7871.0	30932.0	13170.0	24.67992089586928	1	0.2544613991982413	46.24932431938871	7871.0	46.46518294395513	14.505854019251723	0.5976461655277145
68	19581.0	79980	0.680949328066754	5159.3212890625	30168.0	19581	19581.0	79980.0	30168.0	33.44096092371487	1	0.24482370592648162	69.2314957226839	19581.0	57.924729718253076	24.371889964774404	0.6490652346857597
69	1263.0	3300	0.6417363452917905	880.500732421875	1797.0	1263	1263.0	3300.0	1797.0	13.411218639271096	1	0.38272727272727275	34.20526275297414	1263.0	37.91611104424316	4.295991686100728	0.7028380634390651
70	1339.0	5000	0.6534283865666464	899.096923828125	2057.0	1339	1339.0	5000.0	2057.0	13.674999471897458	1	0.2678	25.729360660537214	1339.0	24.984354909082384	6.8546291504474075	0.6509479824987846
71	1987.0	4620	0.8956397810767198	853.3934936523438	2718.0	1987	1987.0	4620.0	2718.0	15.59791017244539	1	0.4300865800865801	26.019223662515376	1987.0	20.936705426460236	13.545074906408866	0.7310522442972774
72	16826.0	74880	0.6911294459688386	4594.57470703125	28812.0	16826	16826.0	74880.0	28812.0	31.792700640463092	1	0.2247061965811966	61.424750711744856	16826.0	50.94437984313975	23.985023616766302	0.5839927807857836
73	6509.0	34776	0.6232079863477128	2705.166259765625	10137.0	6509	6509.0	34776.0	10137.0	23.1653331177607	1	0.18716931216931218	47.10626285325551	6509.0	40.03150337471465	16.2366713066026	0.6421031863470454
74	498.0	1197	0.9950027611169519	305.36041259765625	583.0	498	498.0	1197.0	583.0	9.834302739216675	1	0.41604010025062654	19.44222209522358	498.0	17.076783910083268	6.524351226396324	0.8542024013722127
75	24121.0	75313	0.6733793570142144	5995.44189453125	34613.0	24121	24121.0	75313.0	34613.0	35.848052102460905	1	0.3202767118558549	63.812224534175265	24121.0	55.12291115022553	28.06115213786765	0.6968768959639442
76	466.0	1800	0.6371065589949815	456.2427673339844	633.0	466	466.0	1800.0	633.0	9.618981691831213	1	0.2588888888888889	18.49324200890693	466.0	16.263303899592504	7.417698862520311	0.7361769352290679
77	2461.0	6448	0.939488412634101	938.2828369140625	3086.0	2461	2461.0	6448.0	3086.0	16.750881402363042	1	0.3816687344913151	33.61547262794322	2461.0	31.051296854345928	10.127517134275047	0.7974724562540505
78	8457.0	39600	0.6472185960493839	3101.539794921875	13827.0	8457	8457.0	39600.0	13827.0	25.27779783146011	1	0.21356060606060606	57.3410847473258	8457.0	52.454011890668134	15.677476045384115	0.6116294206986331
79	3586.0	13200	0.7311935600392029	1549.5013427734375	5480.0	3586	3586.0	13200.0	5480.0	18.99053592480251	1	0.27166666666666667	33.19638534539566	3586.0	26.543411863047233	16.467234718569916	0.6543795620437957
80	4178.0	12096	0.7650648428251542	1639.70166015625	6167.0	4178	4178.0	12096.0	6167.0	19.982812088729464	1	0.34540343915343913	35.35533905932738	4178.0	31.007459963649037	16.08520984671937	0.6774768931409113
81	2050.0	5400	0.7276067698653629	1072.564208984375	2878.0	2050	2050.0	5400.0	2878.0	15.761047561153047	1	0.37962962962962965	30.72458299147443	2050.0	26.94222143677801	9.35640908507331	0.7123002084781098
82	278.0	650	0.792413137834137	259.9534912109375	355.0	278	278.0	650.0	355.0	8.097458381330195	1	0.4276923076923077	13.490737563232042	278.0	13.050343944348361	5.2063460633566425	0.7830985915492957
83	195.0	640	0.6654600662729976	244.3722381591797	289.0	195	195.0	640.0	289.0	7.194688513426352	1	0.3046875	16.24807680927192	195.0	15.19398623710784	3.8428757991860056	0.6747404844290658
84	774.0	2352	0.6999026919450483	582.4702758789062	1108.0	774	774.0	2352.0	1108.0	11.391496457993908	1	0.32908163265306123	22.93468988235943	774.0	20.93878547667695	7.370598455726191	0.6985559566787004
85	5846.0	19712	0.7284832193104688	2154.2880859375	8331.0	5846	5846.0	19712.0	8331.0	22.35047357075692	1	0.29657061688311687	45.39823785126467	5846.0	39.10442358672124	15.378830809876884	0.701716480614572
86	989.0	3325	0.6467250173607835	742.2701416015625	1435.0	989	989.0	3325.0	1435.0	12.36134961639893	1	0.2974436090225564	28.442925306655784	989.0	27.5095068162738	5.661228204098541	0.689198606271777
87	2087.0	5130	0.7404704986222339	1066.5748291015625	2874.0	2087	2087.0	5130.0	2874.0	15.85530529881215	1	0.40682261208577	33.49626844888845	2087.0	31.41604932757675	9.102525399339873	0.7261656228253306
88	2294.0	9408	0.6544006139440508	1285.393310546875	3678.0	2294	2294.0	9408.0	3678.0	16.363075355757605	1	0.24383503401360543	29.13760456866693	2294.0	23.633398111238325	12.572846844973968	0.6237085372485046
89	154.0	432	0.7757794320187646	179.09893798828125	186.0	154	154.0	432.0	186.0	6.650291768032731	1	0.35648148148148145	9.9498743710662	154.0	9.095290902447031	5.224840563286363	0.8279569892473119
90	159.0	480	0.6860802237435699	206.87466430664062	207.0	159	159.0	480.0	207.0	6.721499448528673	1	0.33125	10.246950765959598	159.0	9.186760159122668	5.716899552555376	0.7681159420289855
91	41491.0	145591	0.6364337447108028	9106.822265625	63880.0	41491	41491.0	145591.0	63880.0	42.95216836139774	-1	0.2849832750650796	77.08436936240706	41491.0	66.15457941103537	33.554635405560155	0.6495147150907953
92	224.0	594	0.7283166624785906	244.9040069580078	284.0	224	224.0	594.0	284.0	7.534997837451086	1	0.3771043771043771	11.74734012447073	224.0	10.317840585787206	5.573875238475405	0.7887323943661971
93	543.0	1320	0.6964049637294691	462.19171142578125	725.0	543	543.0	1320.0	725.0	10.122017156591745	1	0.4113636363636364	23.043437243605826	543.0	24.950765771921677	3.648745749433094	0.7489655172413793
94	5833.0	16200	0.7037866554512037	2226.5771484375	8038.0	5833	5833.0	16200.0	8038.0	22.333894040768463	1	0.36006172839506173	34.45286635390443	5833.0	29.085910714426667	18.379105277059953	0.7256780293605375
95	217271.0	736164	0.7080071335155711	24685.826171875	307086.0	217271	217271.0	736164.0	307086.0	74.58778557422958	0	0.2951393982862514	137.85862323409444	217271.0	119.05697301835355	49.653124269972004	0.7075249278703686
96	2652.0	8112	0.6844515734397687	1353.7041015625	4042.0	2652	2652.0	8112.0	4042.0	17.173479623854057	0	0.3269230769230769	29.086079144497972	2652.0	25.828876758594188	11.812777289398955	0.6561108362196932
97	1345.0	4788	0.762116846348887	773.17431640625	1847.0	1345	1345.0	4788.0	1847.0	13.69539472877362	1	0.2809106098579783	23.853720883753127	1345.0	20.733253087872228	9.651441695055809	0.7282079047103411
98	11639.0	45864	0.5896951483878847	4211.79296875	19668.0	11639	11639.0	45864.0	19668.0	28.11721803380502	0	0.2537720216291645	43.46262762420146	11639.0	38.74022546513212	23.700118025258973	0.5917734390888754
99	19444.0	59340	0.7062230055070265	4951.453125	27580.0	19444	19444.0	59340.0	27580.0	33.36278755654208	-1	0.3276710481968318	47.391982444291145	19444.0	41.031771745140524	28.005204210147344	0.7050036258158086
100	332.0	840	0.8491779241419072	273.0512390136719	418.0	332	332.0	840.0	418.0	8.59105475728236	1	0.3952380952380952	15.297058540778355	332.0	14.5378834211154	5.169632842447196	0.7942583732057417
101	357.0	1050	0.8127489876084734	299.4377136230469	483.0	357	357.0	1050.0	483.0	8.801496716004365	1	0.34	15.427248620541512	357.0	14.265537241205555	5.6246361213162155	0.7391304347826086
102	2384.0	7800	0.6305439856329753	1368.693603515625	3716.0	2384	2384.0	7800.0	3716.0	16.574325982203085	1	0.30564102564102563	27.03701166919155	2384.0	21.7314952764058	14.02011750938496	0.6415500538213132
103	1132.0	2592	0.9050455605033417	580.3784790039062	1466.0	1132	1132.0	2592.0	1466.0	12.930518347326654	1	0.4367283950617284	22.891046284519195	1132.0	18.813667492359276	7.7919464572220765	0.772169167803547
104	7360.0	18513	0.7882172693595891	2321.43603515625	9828.0	7360	7360.0	18513.0	9828.0	24.133838231525537	1	0.3975584724247826	38.65229618017538	7360.0	34.09510021324718	15.711569006056301	0.7488807488807488
105	3928.0	15624	0.6457588227561142	1864.352783203125	6522.0	3928	3928.0	15624.0	6522.0	19.576014841431913	1	0.25140809011776755	41.048751503547585	3928.0	33.22303345249888	14.23539287686925	0.6022692425636308
106	4197.0	13338	0.7789056216657406	1615.444091796875	5733.0	4197	4197.0	13338.0	5733.0	20.01305776777986	1	0.31466486729644627	34.20526275297414	4197.0	27.508545392150268	15.523212091011438	0.7320774463631606
107	322.0	840	0.7331780501977408	309.86932373046875	411.0	322	322.0	840.0	411.0	8.503918378444457	1	0.38333333333333336	15.588457268119896	322.0	14.655706212670033	6.831523662082846	0.7834549878345499
108	12221.0	57105	0.627053912129048	4091.8251953125	21505.0	12221	12221.0	57105.0	21505.0	28.578276947656555	1	0.21400928114876105	53.009433122794285	12221.0	41.54987170783859	26.24580089136592	0.5682864450127877
109	507.0	1800	0.6677590039415812	460.4717712402344	744.0	507	507.0	1800.0	744.0	9.893192183108509	1	0.2816666666666667	21.563858652847824	507.0	20.38269424685649	5.052207387397727	0.6814516129032258
110	40520.0	172672	0.6058817699345269	9416.2041015625	57735.0	40520	40520.0	172672.0	57735.0	42.614454955057255	1	0.23466456634544106	76.03288762108144	40520.0	67.41161170539651	23.021179165738474	0.7018273144539707
111	18334.0	110880	0.6803465902955264	4942.2578125	22108.0	18334	18334.0	110880.0	22108.0	32.715447728942834	0	0.16534992784992786	87.98863562983574	18334.0	84.47708869842562	18.67369402427723	0.829292563777818
112	472.0	1152	0.856013873584445	342.4769287109375	607.0	472	472.0	1152.0	607.0	9.660088950626326	1	0.4097222222222222	18.33030277982336	472.0	17.759310411817275	6.149767467185769	0.7775947281713345
113	172.0	540	0.7353600257386139	203.3931884765625	232.0	172	172.0	540.0	232.0	6.89990759899837	1	0.31851851851851853	11.224972160321824	172.0	10.175837495621277	4.686114691762083	0.7413793103448276
114	621.0	1664	0.6735178765816479	522.632080078125	830.0	621	621.0	1664.0	830.0	10.585165662021076	1	0.37319711538461536	17.663521732655695	621.0	17.159179136556595	7.410285488671623	0.7481927710843373
115	5231.0	19890	0.7027707993730462	2073.609130859375	8858.0	5231	5231.0	19890.0	8858.0	21.537503741689534	1	0.2629964806435395	41.30375285612676	5231.0	36.86484091424233	16.532450436645057	0.5905396251975615
116	580.0	1224	0.8298353804414799	405.30084228515625	771.0	580	580.0	1224.0	771.0	10.346889008501094	1	0.4738562091503268	18.601075237738275	580.0	16.165386935825893	5.629014548303098	0.7522697795071336
117	54855.0	189440	0.6304838064597411	11073.5703125	86407.0	54855	54855.0	189440.0	86407.0	47.141767941955194	0	0.2895639780405405	81.03085831953157	54855.0	64.55525185027014	31.494721021044413	0.634844399180622
118	248.0	572	0.762750139648267	250.26663208007812	327.0	248	248.0	572.0	327.0	7.795028119251512	1	0.43356643356643354	14.89966442575134	248.0	15.728570367005762	3.9084920917136503	0.7584097859327217
119	8077.0	28980	0.6826832147062435	2851.66357421875	11870.0	8077	8077.0	28980.0	11870.0	24.893377218698244	1	0.2787094547964113	63.15853069855251	8077.0	58.556243809264885	17.731860729464287	0.6804549283909014
120	4491.0	15960	0.7330146080378981	1795.8367919921875	6213.0	4491	4491.0	15960.0	6213.0	20.469857102477427	1	0.281390977443609	41.737273509418415	4491.0	39.13249454430354	11.624706805066957	0.7228392081120232
