label	volume	bbox_volume	sphericity	surface_area	convex_volume	num_pixels	area	area_bbox	area_convex	equivalent_diameter_area	euler_number	extent	feret_diameter_max	area_filled	axis_major_length	axis_minor_length	solidity
13	6492.0	16640	0.7545513015333138	2230.39111328125	8364.0	6492	6492.0	16640.0	8364.0	23.145148040240343	1	0.39014423076923077	33.85262175962151	6492.0	29.596075361271073	21.433730941699846	0.776183644189383
14	791.0	3680	0.6211858727692542	665.8558349609375	1389.0	791	791.0	3680.0	1389.0	11.47429348039851	1	0.21494565217391304	25.67099530598687	791.0	24.66073071082563	4.792722741394774	0.5694744420446364
15	41024.0	125775	0.8392551628666783	6854.07373046875	56814.0	41024	41024.0	125775.0	56814.0	42.79041124772052	1	0.3261697475650964	77.56932383358772	41024.0	77.11298296678376	37.97278346091624	0.7220755447600944
16	4335.0	19208	0.6414465914283773	2004.3936767578125	7603.0	4335	4335.0	19208.0	7603.0	20.230043960204156	1	0.2256872136609746	49.61854492022111	4335.0	50.108425170678984	8.472648115319116	0.5701696698671577
17	1812.0	9702	0.6716468888703174	1070.15966796875	3266.0	1812	1812.0	9702.0	3266.0	15.125852359263437	1	0.18676561533704392	30.133038346638727	1812.0	26.739594494036552	10.677369976310706	0.5548071034905082
18	39158.0	114840	0.6275823929481466	8885.7421875	65095.0	39158	39158.0	114840.0	65095.0	42.13153606284816	0	0.3409787530477186	95.89056262218926	39158.0	94.42073743701559	21.011085644115568	0.6015515784622475
19	16018.0	41393	0.7113011732431235	4320.189453125	21134.0	16018	16018.0	41393.0	21134.0	31.275425167784945	0	0.3869736428864784	75.79577824654879	16018.0	75.40313570900102	10.481276459057346	0.7579256174884073
20	497372.0	2095636	0.6776663084511793	44797.70703125	795811.0	497372	497372.0	2095636.0	795811.0	98.30167170283755	-2	0.23733701845167768	185.11888072263184	497372.0	148.591544621089	84.59957583627914	0.6249875912748127
21	71118.0	211806	0.6968458632098734	11912.431640625	108367.0	71118	71118.0	211806.0	108367.0	51.40361207863367	1	0.3357695249426362	126.62543188475212	71118.0	117.17863221130597	20.620706325229627	0.6562698976625726
22	8609.0	47850	0.6223767873429811	3263.86767578125	14001.0	8609	8609.0	47850.0	14001.0	25.4283411003803	1	0.17991640543364681	58.42944463196617	8609.0	55.064684964974006	15.87694319581522	0.6148846510963503
