batch	slice	method	vf_mask	ncc_mask	vf	ncc	vf_z
0	0	UNet	0.3348808288574219	34	0.43949127197265625	96	0.39491405895973664
0	1	UNet	0.3695182800292969	34	0.44184112548828125	71	0.4397568318352236
0	2	UNet	0.23117828369140625	48	0.3689765930175781	96	-0.9507331108509418
0	3	UNet	0.1876068115234375	36	0.3175163269042969	82	-1.9327607181404225
1	4	UNet	0.3894844055175781	31	0.4912834167480469	70	1.3832749799507877
1	5	UNet	0.35094451904296875	31	0.43706512451171875	74	0.3486153518999805
1	6	UNet	0.375518798828125	32	0.4635429382324219	58	0.8538973105505577
1	7	UNet	0.22034835815429688	31	0.3928413391113281	69	-0.4953168980115799
2	8	UNet	0.2903099060058594	28	0.4166145324707031	69	-0.04164780619334093
