bin_centers	pdf	cdf	satn
0.08659359216690063	0.03497027615554235	1.0	0.006056403662753848
0.25978077650070186	0.06324252381135087	0.9939435963372462	0.010952794629051238
0.4329679608345031	0.2450596222012906	0.982990801708195	0.0424411859629466
0.6061551451683044	0.45040067687832896	0.9405496157452484	0.07800362505059605
0.7793423295021057	0.8551859083212804	0.8625459906946523	0.1481072395441069
0.9525295138359069	2.022768289572532	0.7144387511505454	0.35031754463076564
1.125716698169708	1.0814503954708816	0.36412120651977975	0.1872933489882779
1.2989038825035095	0.7409466161697954	0.17682785753150188	0.1283224581961047
1.4720910668373106	0.16882668598114034	0.0485053993353972	0.02923861838548054
1.6452782511711121	0.1112483064149933	0.019266780949916656	0.019266780949916656
