bin_centers	pdf	cdf	satn
0.0906713366508484	0.023812123157272852	1.0	0.0043181540703291
0.2720140099525452	0.04753832727207979	0.9956818459296709	0.008620727351809907
0.453356683254242	0.19407955180599606	0.987061118577861	0.03519490475769449
0.6346993565559388	0.3649623668171879	0.9518662138201666	0.06618325125314331
0.8160420298576355	0.79328813114715	0.8856829625670233	0.1438569904007312
0.9973847031593324	1.7558042344074662	0.7418259721662921	0.3184022336618893
1.1787273764610293	1.1028806148547148	0.42342373850440274	0.19999931903037296
1.3600700497627258	0.895921587882428	0.22342441947402977	0.16246881581530054
1.5414127230644228	0.2633344672241433	0.060955603658729235	0.04775377625890418
1.7227553963661193	0.07280044547408542	0.013201827399825058	0.013201827399825058
